Model,AUROC,PR_AUC,Balanced_Accuracy,Sensitivity,Specificity,Brier_Score,TP,FP,FN,TN
Logistic Regression,0.8772290809327846,0.5207960726676697,0.845679012345679,0.8888888888888888,0.8024691358024691,0.13221904904855897,16,16,2,65
Random Forest,0.9012345679012346,0.6548347519362011,0.9135802469135802,0.8888888888888888,0.9382716049382716,0.08506579915089997,16,5,2,76
XGBoost,0.9355281207133058,0.6658492741826075,0.9135802469135802,0.8888888888888888,0.9382716049382716,0.06094460904798766,16,5,2,76
